Timestamp,DayOfWeek,Date,Time,Hour,Minute,System_Load
2025-01-01 01:10:00,Wednesday,2025-01-01,01:10:00,1,10,0
2025-01-10 23:30:00,Friday,2025-01-10,23:30:00,23,30,0
2025-01-10 23:40:00,Friday,2025-01-10,23:40:00,23,40,0
2025-01-10 23:50:00,Friday,2025-01-10,23:50:00,23,50,0
2025-01-21 02:00:00,Tuesday,2025-01-21,02:00:00,2,0,0
2025-01-21 02:10:00,Tuesday,2025-01-21,02:10:00,2,10,0
2025-01-21 02:20:00,Tuesday,2025-01-21,02:20:00,2,20,0
2025-01-21 02:30:00,Tuesday,2025-01-21,02:30:00,2,30,0
2025-02-15 01:40:00,Saturday,2025-02-15,01:40:00,1,40,0
2025-02-22 23:30:00,Saturday,2025-02-22,23:30:00,23,30,0
2025-02-22 23:40:00,Saturday,2025-02-22,23:40:00,23,40,0
2025-02-22 23:50:00,Saturday,2025-02-22,23:50:00,23,50,0
2025-02-23 00:00:00,Sunday,2025-02-23,00:00:00,0,0,0
2025-02-23 00:10:00,Sunday,2025-02-23,00:10:00,0,10,0
2025-04-01 03:10:00,Tuesday,2025-04-01,03:10:00,3,10,0
